epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,42597.4,1.18862,3.08327,2.03375,0.50515,0.48405,0.43883,0.2086,2.15249,6.39853,4.05365,0.000138406,0.000138406,0.000138406
115,42956.8,1.18083,3.02618,2.02233,0.53405,0.45168,0.43891,0.20734,2.15246,6.43564,4.06049,0.000137444,0.000137444,0.000137444
116,43314.8,1.18163,3.01102,2.02773,0.51043,0.47057,0.43689,0.20712,2.15137,6.47369,4.06594,0.000136478,0.000136478,0.000136478
117,43693.3,1.18449,3.04284,2.02458,0.50085,0.45463,0.42528,0.20392,2.15284,6.43055,4.06849,0.000135509,0.000135509,0.000135509
118,44144.5,1.16011,3.03261,1.99986,0.44969,0.4739,0.42575,0.20431,2.15346,6.4161,4.06732,0.000134535,0.000134535,0.000134535
119,44592.8,1.17455,3.01826,2.02748,0.44532,0.47749,0.42882,0.20645,2.1544,6.41545,4.06757,0.000133558,0.000133558,0.000133558
120,45041.2,1.16212,2.94423,2.02024,0.45255,0.46612,0.42933,0.20709,2.15643,6.39175,4.07413,0.000132577,0.000132577,0.000132577
121,45510.2,1.16962,2.97197,2.01906,0.47491,0.44784,0.42982,0.20684,2.15808,6.37764,4.08017,0.000131593,0.000131593,0.000131593
122,45968.8,1.16503,3.02148,2.01122,0.45828,0.45908,0.42957,0.20788,2.1583,6.37128,4.08363,0.000130605,0.000130605,0.000130605
123,46452.9,1.15652,2.99775,1.99695,0.46112,0.45993,0.43022,0.2064,2.16031,6.35827,4.08859,0.000129614,0.000129614,0.000129614
124,46939.1,1.15279,2.88181,1.99361,0.45722,0.45778,0.42776,0.20382,2.15993,6.3763,4.09061,0.00012862,0.00012862,0.00012862
125,47429.3,1.16338,2.96669,2.00478,0.47518,0.45166,0.43514,0.20378,2.16145,6.39191,4.09513,0.000127623,0.000127623,0.000127623
126,47935.5,1.16461,2.91328,1.99972,0.44505,0.45807,0.42676,0.20333,2.1606,6.39482,4.10018,0.000126623,0.000126623,0.000126623
127,48390.5,1.13759,2.90326,1.96861,0.49467,0.44383,0.42865,0.20336,2.16148,6.38647,4.10759,0.00012562,0.00012562,0.00012562
128,48827.4,1.1383,2.84241,1.97793,0.45995,0.44679,0.42883,0.20319,2.16116,6.38963,4.11393,0.000124615,0.000124615,0.000124615
129,49248.9,1.13969,2.85496,1.97619,0.49537,0.44402,0.43133,0.2063,2.16172,6.39545,4.1213,0.000123607,0.000123607,0.000123607
130,49674.2,1.13707,2.83896,1.98631,0.49661,0.44211,0.43202,0.20712,2.16285,6.39939,4.12878,0.000122596,0.000122596,0.000122596
131,50124.6,1.12775,2.80524,1.96804,0.49886,0.44102,0.44101,0.2103,2.16365,6.39951,4.13438,0.000121583,0.000121583,0.000121583
132,50566,1.12973,2.8414,1.96509,0.5006,0.44074,0.44575,0.21213,2.16454,6.37963,4.14161,0.000120568,0.000120568,0.000120568
133,51048.7,1.12067,2.74787,1.94596,0.50323,0.44074,0.44482,0.21149,2.16515,6.37073,4.14565,0.000119551,0.000119551,0.000119551
134,51534,1.1301,2.83656,1.97741,0.50967,0.44705,0.45099,0.21211,2.16587,6.36738,4.14848,0.000118531,0.000118531,0.000118531
135,51932.3,1.10809,2.71588,1.94049,0.51147,0.4471,0.45032,0.21167,2.16538,6.35618,4.15154,0.00011751,0.00011751,0.00011751
136,52330,1.10333,2.69692,1.94972,0.51402,0.44803,0.45115,0.21233,2.16627,6.34941,4.15406,0.000116487,0.000116487,0.000116487
137,52767.2,1.11708,2.79864,1.96212,0.51656,0.44851,0.4509,0.21199,2.16627,6.34318,4.15981,0.000115462,0.000115462,0.000115462
138,53170.8,1.11424,2.72417,1.95517,0.5155,0.44956,0.44969,0.2118,2.16626,6.31585,4.16295,0.000114436,0.000114436,0.000114436
139,53505.8,1.10994,2.7878,1.94586,0.51611,0.44963,0.44823,0.21128,2.16763,6.29874,4.16718,0.000113408,0.000113408,0.000113408
140,53816.3,1.11444,2.74144,1.94567,0.51636,0.45107,0.44921,0.21184,2.16823,6.29048,4.17245,0.000112379,0.000112379,0.000112379
141,54233,1.10048,2.69398,1.938,0.51829,0.45158,0.4495,0.21179,2.16958,6.28612,4.18068,0.000111348,0.000111348,0.000111348
142,54707.8,1.08832,2.67663,1.92156,0.51906,0.45363,0.44929,0.21216,2.16862,6.27647,4.18387,0.000110317,0.000110317,0.000110317
143,55181.5,1.0994,2.6887,1.92524,0.51718,0.45356,0.44893,0.2121,2.16859,6.26718,4.18678,0.000109284,0.000109284,0.000109284
144,55615,1.10666,2.72803,1.93454,0.51834,0.45479,0.44997,0.21097,2.16866,6.25885,4.18862,0.000108251,0.000108251,0.000108251
145,56042.2,1.08193,2.6135,1.918,0.51635,0.45601,0.45073,0.21135,2.16838,6.24608,4.19028,0.000107216,0.000107216,0.000107216
146,56449.8,1.08167,2.6262,1.91377,0.51658,0.45692,0.44845,0.21133,2.16786,6.24548,4.19053,0.000106181,0.000106181,0.000106181
147,56840.3,1.07134,2.56762,1.91013,0.51627,0.45764,0.44925,0.21128,2.16802,6.24161,4.19282,0.000105146,0.000105146,0.000105146
148,57237.7,1.06994,2.61592,1.90657,0.51481,0.45701,0.44915,0.21218,2.16754,6.24365,4.19258,0.00010411,0.00010411,0.00010411
149,57744.5,1.07449,2.60463,1.90466,0.51335,0.45692,0.45053,0.21212,2.16783,6.24481,4.19447,0.000103073,0.000103073,0.000103073
150,58203.1,1.07521,2.58736,1.89938,0.5148,0.45671,0.45059,0.21388,2.16832,6.24023,4.19591,0.000102037,0.000102037,0.000102037
151,58616.7,1.07206,2.63389,1.90873,0.51352,0.45768,0.45157,0.21424,2.16888,6.22908,4.19623,0.000101,0.000101,0.000101
152,58978.6,1.06929,2.60573,1.9076,0.51407,0.45969,0.45226,0.21426,2.16777,6.21792,4.1977,9.99633e-05,9.99633e-05,9.99633e-05
153,59370.3,1.07765,2.61912,1.91594,0.51444,0.46078,0.45256,0.21477,2.16763,6.21148,4.19774,9.89267e-05,9.89267e-05,9.89267e-05
154,59771.5,1.06431,2.56662,1.88985,0.51656,0.46109,0.45319,0.21536,2.16728,6.19613,4.19918,9.78903e-05,9.78903e-05,9.78903e-05
155,60200.2,1.05598,2.47903,1.87382,0.51852,0.46073,0.45324,0.21529,2.1675,6.19221,4.20251,9.68543e-05,9.68543e-05,9.68543e-05
156,70077,1.05721,2.53875,1.88884,0.5215,0.46123,0.45387,0.21519,2.16806,6.19281,4.20539,9.58187e-05,9.58187e-05,9.58187e-05
157,85125.5,1.06945,2.57639,1.89981,0.5199,0.46072,0.45077,0.21434,2.16884,6.18463,4.20766,9.47837e-05,9.47837e-05,9.47837e-05
158,94738.7,1.05617,2.5545,1.8891,0.51786,0.46038,0.44968,0.21483,2.16856,6.17967,4.20709,9.37494e-05,9.37494e-05,9.37494e-05
159,95099.7,1.05083,2.50609,1.88356,0.51827,0.46198,0.45112,0.21537,2.16862,6.17398,4.21013,9.27159e-05,9.27159e-05,9.27159e-05
160,95458.8,1.05126,2.51417,1.87704,0.52344,0.45685,0.45143,0.21583,2.1707,6.16321,4.213,9.16833e-05,9.16833e-05,9.16833e-05
161,95817.2,1.04992,2.5623,1.8789,0.52337,0.45787,0.45073,0.21565,2.17191,6.15959,4.219,9.06517e-05,9.06517e-05,9.06517e-05
162,96227,1.04411,2.49197,1.87837,0.52436,0.45923,0.45299,0.21658,2.17247,6.15767,4.22359,8.96212e-05,8.96212e-05,8.96212e-05
163,96701.4,1.04028,2.53631,1.87408,0.52067,0.46171,0.45238,0.21641,2.17337,6.15727,4.22658,8.8592e-05,8.8592e-05,8.8592e-05
164,97192.1,1.03515,2.49832,1.87074,0.52102,0.46061,0.45245,0.21642,2.17438,6.16032,4.23272,8.75642e-05,8.75642e-05,8.75642e-05
165,97652.7,1.04662,2.47682,1.86484,0.51506,0.47594,0.45455,0.21676,2.17488,6.15359,4.23582,8.65378e-05,8.65378e-05,8.65378e-05
166,98086.5,1.02746,2.4666,1.84788,0.51437,0.47814,0.45223,0.21679,2.1758,6.15762,4.24056,8.5513e-05,8.5513e-05,8.5513e-05
167,98519.9,1.03732,2.51114,1.86766,0.51986,0.47779,0.45521,0.21729,2.17602,6.14937,4.24104,8.44899e-05,8.44899e-05,8.44899e-05
168,98955,1.01361,2.41182,1.83553,0.52156,0.47393,0.45418,0.21663,2.17641,6.14614,4.24365,8.34686e-05,8.34686e-05,8.34686e-05
169,99388.6,1.01579,2.44442,1.83213,0.52504,0.47587,0.45308,0.21654,2.17701,6.14399,4.24563,8.24492e-05,8.24492e-05,8.24492e-05
170,99838.2,1.02279,2.42666,1.84488,0.52495,0.47564,0.45368,0.2164,2.17735,6.14026,4.24905,8.14319e-05,8.14319e-05,8.14319e-05
171,100290,1.00734,2.39213,1.84082,0.52533,0.47427,0.45328,0.21627,2.17784,6.13422,4.25242,8.04167e-05,8.04167e-05,8.04167e-05
172,100722,1.01032,2.40668,1.83418,0.52443,0.47429,0.45387,0.21651,2.17808,6.13282,4.25513,7.94038e-05,7.94038e-05,7.94038e-05
173,101157,1.02172,2.41538,1.84378,0.52638,0.47272,0.45383,0.21676,2.17858,6.13062,4.25806,7.83933e-05,7.83933e-05,7.83933e-05
174,101589,1.01846,2.41777,1.83666,0.52682,0.47227,0.45374,0.21676,2.1795,6.1319,4.26172,7.73852e-05,7.73852e-05,7.73852e-05
175,102023,1.00121,2.38263,1.83297,0.51872,0.47581,0.45342,0.21683,2.18008,6.13283,4.26457,7.63797e-05,7.63797e-05,7.63797e-05
176,102457,1.01768,2.36041,1.82751,0.52121,0.47528,0.45401,0.21674,2.18017,6.12804,4.26541,7.53769e-05,7.53769e-05,7.53769e-05
177,102912,0.99317,2.3396,1.81805,0.52059,0.47422,0.45325,0.21698,2.18075,6.12459,4.26939,7.43769e-05,7.43769e-05,7.43769e-05
178,103447,1.0073,2.37377,1.82182,0.51966,0.47437,0.45646,0.21844,2.18101,6.11972,4.27126,7.33799e-05,7.33799e-05,7.33799e-05
